1D Network settings: o=[ 1.8 12.0 ] nConns=5 nHidden=15 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.02687,0.02671,   5,  15
2,1,0.00391,0.00419,   5,  15
3,1,0.00495,0.00460,   5,  15
4,1,0.01874,0.01452,   5,  15
5,1,0.00986,0.00759,   5,  15
6,1,0.01845,0.00982,   5,  15
7,1,0.01653,0.02133,   5,  15
8,1,0.00812,0.00898,   5,  15
9,1,0.01352,0.01999,   5,  15
10,1,0.00392,0.00759,   5,  15
11,1,0.02485,0.05825,   5,  15
12,1,0.00705,0.00611,   5,  15
13,1,0.01145,0.00340,   5,  15
14,1,0.00751,0.00683,   5,  15
15,1,0.00372,0.00907,   5,  15
16,1,0.02622,0.04483,   5,  15
17,1,0.00868,0.00882,   5,  15
18,1,0.00973,0.00450,   5,  15
19,1,0.01277,0.02480,   5,  15
20,1,0.00972,0.00547,   5,  15
21,1,0.00516,0.01026,   5,  15
22,1,0.00714,0.00954,   5,  15
23,1,0.01575,0.01481,   5,  15
24,1,0.01199,0.01015,   5,  15
25,1,0.01253,0.00919,   5,  15
26,1,0.01232,0.00996,   5,  15
27,1,0.00516,0.00790,   5,  15
28,1,0.01268,0.00559,   5,  15
29,1,0.01190,0.00893,   5,  15
30,1,0.01436,0.02493,   5,  15
31,1,0.00478,0.00571,   5,  15
32,1,0.00920,0.00612,   5,  15
33,1,0.01068,0.00899,   5,  15
34,1,0.01363,0.00832,   5,  15
35,1,0.00864,0.00435,   5,  15
36,1,0.00842,0.01017,   5,  15
37,1,0.00448,0.01016,   5,  15
38,1,0.02330,0.02070,   5,  15
39,1,0.00383,0.00383,   5,  15
40,1,0.01319,0.00306,   5,  15
41,1,0.00966,0.00933,   5,  15
42,1,0.04744,0.00745,   5,  15
43,1,0.00962,0.00677,   5,  15
44,1,0.00348,0.00582,   5,  15
45,1,0.01220,0.02604,   5,  15
46,1,0.00592,0.00910,   5,  15
47,1,0.00626,0.00790,   5,  15
48,1,0.00566,0.00787,   5,  15
49,1,0.00336,0.01067,   5,  15
50,1,0.00766,0.00836,   5,  15
51,1,0.00698,0.01314,   5,  15
52,1,0.01182,0.01544,   5,  15
53,1,0.00881,0.00902,   5,  15
54,1,0.02125,0.00681,   5,  15
55,1,0.01088,0.01063,   5,  15
56,1,0.00438,0.00713,   5,  15
57,1,0.00783,0.01157,   5,  15
58,1,0.00828,0.00524,   5,  15
59,1,0.00642,0.00738,   5,  15
60,1,0.00164,0.00524,   5,  15
61,1,0.00761,0.00530,   5,  15
62,1,0.01958,0.01322,   5,  15
63,1,0.02779,0.02183,   5,  15
64,1,0.00909,0.02443,   5,  15
65,1,0.00642,0.00603,   5,  15
66,1,0.00691,0.00665,   5,  15
67,1,0.00818,0.00774,   5,  15
68,1,0.02843,0.03201,   5,  15
1,2,0.01444,0.00531,   5,  15
2,2,0.01571,0.00876,   5,  15
3,2,0.00592,0.01549,   5,  15
4,2,0.02082,0.01339,   5,  15
5,2,0.01099,0.00222,   5,  15
6,2,0.00441,0.00707,   5,  15
7,2,0.01330,0.00184,   5,  15
8,2,0.01716,0.00853,   5,  15
9,2,0.01459,0.01153,   5,  15
10,2,0.01296,0.00579,   5,  15
11,2,0.00404,0.00291,   5,  15
12,2,0.00530,0.00378,   5,  15
13,2,0.00652,0.00811,   5,  15
14,2,0.00644,0.01620,   5,  15
15,2,0.00967,0.00958,   5,  15
16,2,0.01376,0.00365,   5,  15
17,2,0.01632,0.01546,   5,  15
18,2,0.00498,0.00513,   5,  15
19,2,0.01564,0.01132,   5,  15
20,2,0.00979,0.00343,   5,  15
21,2,0.00664,0.00422,   5,  15
22,2,0.01747,0.01951,   5,  15
23,2,0.00858,0.00592,   5,  15
24,2,0.01574,0.01284,   5,  15
25,2,0.01398,0.00801,   5,  15
26,2,0.00501,0.00402,   5,  15
27,2,0.01104,0.00585,   5,  15
28,2,0.00765,0.00365,   5,  15
29,2,0.00935,0.00983,   5,  15
30,2,0.02197,0.01505,   5,  15
31,2,0.03188,0.03346,   5,  15
32,2,0.00577,0.00488,   5,  15
33,2,0.01873,0.01857,   5,  15
34,2,0.01307,0.00468,   5,  15
35,2,0.01212,0.00410,   5,  15
36,2,0.01646,0.01047,   5,  15
37,2,0.01994,0.01208,   5,  15
38,2,0.00803,0.00872,   5,  15
39,2,0.01136,0.01685,   5,  15
40,2,0.00576,0.00399,   5,  15
41,2,0.01743,0.00599,   5,  15
42,2,0.01825,0.01375,   5,  15
43,2,0.01146,0.01528,   5,  15
44,2,0.02217,0.01686,   5,  15
45,2,0.01314,0.00701,   5,  15
46,2,0.01294,0.01286,   5,  15
47,2,0.01300,0.00576,   5,  15
48,2,0.01574,0.00850,   5,  15
49,2,0.01175,0.00356,   5,  15
50,2,0.00744,0.00838,   5,  15
51,2,0.00535,0.01047,   5,  15
52,2,0.02256,0.03552,   5,  15
53,2,0.01402,0.00954,   5,  15
54,2,0.00716,0.02623,   5,  15
55,2,0.00861,0.00453,   5,  15
56,2,0.01047,0.01496,   5,  15
57,2,0.01447,0.00949,   5,  15
58,2,0.00442,0.00265,   5,  15
59,2,0.00674,0.01570,   5,  15
60,2,0.01263,0.00616,   5,  15
61,2,0.02047,0.01537,   5,  15
62,2,0.00740,0.00673,   5,  15
63,2,0.01373,0.00664,   5,  15
64,2,0.01435,0.00843,   5,  15
65,2,0.00592,0.00809,   5,  15
66,2,0.00000,0.00000,   5,  15
67,2,0.00658,0.00441,   5,  15
68,2,0.00322,0.00559,   5,  15
