1D Network settings: o=[ 1.8 12.0 ] nConns=9 nHidden=15 trials=68

run,hemisphere,global_target,local_target
1,1,0.01727,0.00830
2,1,0.00609,0.00614
3,1,0.00553,0.00643
4,1,0.01697,0.01298
5,1,0.00998,0.00839
6,1,0.00839,0.01111
7,1,0.00480,0.00534
8,1,0.00567,0.00283
9,1,0.00591,0.00878
10,1,0.00449,0.00548
11,1,0.00547,0.00564
12,1,0.00668,0.00726
13,1,0.01239,0.00841
14,1,0.00396,0.00656
15,1,0.01115,0.00613
16,1,0.00440,0.01007
17,1,0.01333,0.01534
18,1,0.00693,0.00443
19,1,0.01230,0.02296
20,1,0.00188,0.01441
21,1,0.02055,0.00846
22,1,0.01314,0.00857
23,1,0.00676,0.00940
24,1,0.00665,0.00782
25,1,0.00527,0.00310
26,1,0.00591,0.01201
27,1,0.01118,0.01059
28,1,0.00565,0.00582
29,1,0.00446,0.01343
30,1,0.00506,0.00633
31,1,0.00488,0.01112
32,1,0.01111,0.02278
33,1,0.00752,0.01288
34,1,0.01506,0.01044
35,1,0.00539,0.00528
36,1,0.00676,0.00608
37,1,0.01419,0.00286
38,1,0.00913,0.00484
39,1,0.04579,0.02586
40,1,0.00890,0.00425
41,1,0.00638,0.00461
42,1,0.00261,0.00591
43,1,0.00256,0.00711
44,1,0.01085,0.00380
45,1,0.01098,0.01435
46,1,0.00458,0.00497
47,1,0.00517,0.00487
48,1,0.01125,0.00542
49,1,0.00817,0.01164
50,1,0.00300,0.00587
51,1,0.01196,0.00491
52,1,0.00867,0.00315
53,1,0.00736,0.00567
54,1,0.00680,0.00662
55,1,0.01069,0.00260
56,1,0.00605,0.00335
57,1,0.01404,0.01015
58,1,0.00542,0.00783
59,1,0.00716,0.01158
60,1,0.00304,0.00547
61,1,0.02674,0.01456
62,1,0.00657,0.00828
63,1,0.00375,0.00954
64,1,0.00549,0.00488
65,1,0.00644,0.00818
66,1,0.00667,0.00795
67,1,0.00478,0.01154
68,1,0.00812,0.00326
1,2,0.00591,0.00523
2,2,0.00568,0.01137
3,2,0.01169,0.01025
4,2,0.00655,0.01095
5,2,0.00300,0.00730
6,2,0.00335,0.00995
7,2,0.01046,0.02808
8,2,0.00394,0.00943
9,2,0.00374,0.01762
10,2,0.00840,0.00750
11,2,0.00468,0.03459
12,2,0.00338,0.00819
13,2,0.00738,0.00616
14,2,0.00588,0.01197
15,2,0.04108,0.02670
16,2,0.00431,0.00905
17,2,0.00238,0.00671
18,2,0.00513,0.01160
19,2,0.00493,0.00791
20,2,0.00867,0.00994
21,2,0.00427,0.00639
22,2,0.00821,0.01224
23,2,0.00766,0.00755
24,2,0.00657,0.00464
25,2,0.00764,0.01768
26,2,0.00337,0.00370
27,2,0.00433,0.01131
28,2,0.00181,0.02204
29,2,0.00568,0.00760
30,2,0.00329,0.00311
31,2,0.00439,0.01391
32,2,0.00248,0.00995
33,2,0.00402,0.00343
34,2,0.00571,0.02748
35,2,0.00428,0.00814
36,2,0.00443,0.02432
37,2,0.00000,0.00001
38,2,0.00872,0.03147
39,2,0.00304,0.01249
40,2,0.00423,0.01096
41,2,0.00494,0.00329
42,2,0.01053,0.01264
43,2,0.00215,0.00561
44,2,0.00494,0.02089
45,2,0.00732,0.01880
46,2,0.00593,0.00788
47,2,0.00013,0.02737
48,2,0.00445,0.01055
49,2,0.00640,0.01690
50,2,0.01169,0.01190
51,2,0.00828,0.01607
52,2,0.00526,0.02585
53,2,0.00394,0.01041
54,2,0.00593,0.00840
55,2,0.01135,0.03733
56,2,0.00294,0.01202
57,2,0.00328,0.00437
58,2,0.00386,0.01106
59,2,0.00423,0.00913
60,2,0.00621,0.00699
61,2,0.00866,0.00931
62,2,0.00545,0.01675
63,2,0.00443,0.02155
64,2,0.00443,0.00670
65,2,0.00396,0.00611
66,2,0.01391,0.02865
67,2,0.00470,0.00643
68,2,0.00555,0.00677
