2D Network settings: o=[ 4.0 18.0 ] nConns=120 nHidden=22 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.04840,0.02207, 120,  22
2,1,0.04466,0.03471, 120,  22
3,1,0.04662,0.03138, 120,  22
4,1,0.05273,0.03430, 120,  22
5,1,0.03292,0.03821, 120,  22
6,1,0.05100,0.04507, 120,  22
7,1,0.05480,0.03439, 120,  22
8,1,0.03468,0.03586, 120,  22
9,1,0.04386,0.03897, 120,  22
10,1,0.03308,0.04334, 120,  22
11,1,0.04266,0.03931, 120,  22
12,1,0.03296,0.05204, 120,  22
13,1,0.04230,0.03574, 120,  22
14,1,0.02553,0.04720, 120,  22
15,1,0.03579,0.04569, 120,  22
16,1,0.04390,0.04276, 120,  22
17,1,0.04236,0.04351, 120,  22
18,1,0.03712,0.04402, 120,  22
19,1,0.03278,0.03996, 120,  22
20,1,0.05011,0.04199, 120,  22
21,1,0.02632,0.05154, 120,  22
22,1,0.04275,0.04204, 120,  22
23,1,0.04321,0.04772, 120,  22
24,1,0.04020,0.03931, 120,  22
25,1,0.05847,0.02410, 120,  22
26,1,0.05917,0.03055, 120,  22
27,1,0.03676,0.03939, 120,  22
28,1,0.04328,0.03888, 120,  22
29,1,0.04788,0.02496, 120,  22
30,1,0.03562,0.04280, 120,  22
31,1,0.03765,0.06424, 120,  22
32,1,0.03542,0.03309, 120,  22
33,1,0.02822,0.04420, 120,  22
34,1,0.05676,0.03871, 120,  22
35,1,0.03122,0.04683, 120,  22
36,1,0.02139,0.04711, 120,  22
37,1,0.05385,0.03569, 120,  22
38,1,0.05107,0.03711, 120,  22
39,1,0.04704,0.04754, 120,  22
40,1,0.04403,0.03139, 120,  22
41,1,0.03906,0.04688, 120,  22
42,1,0.04490,0.04168, 120,  22
43,1,0.03936,0.04591, 120,  22
44,1,0.03952,0.04035, 120,  22
45,1,0.03175,0.04076, 120,  22
46,1,0.05624,0.03945, 120,  22
47,1,0.03721,0.04832, 120,  22
48,1,0.05153,0.04184, 120,  22
49,1,0.03852,0.03576, 120,  22
50,1,0.04260,0.03811, 120,  22
51,1,0.02336,0.04238, 120,  22
52,1,0.03888,0.03017, 120,  22
53,1,0.02988,0.05018, 120,  22
54,1,0.03756,0.03768, 120,  22
55,1,0.03633,0.05428, 120,  22
56,1,0.05075,0.03558, 120,  22
57,1,0.04884,0.02914, 120,  22
58,1,0.03507,0.03689, 120,  22
59,1,0.02690,0.04270, 120,  22
60,1,0.03312,0.03862, 120,  22
61,1,0.04480,0.04539, 120,  22
62,1,0.02861,0.04735, 120,  22
63,1,0.04559,0.04830, 120,  22
64,1,0.04628,0.02699, 120,  22
65,1,0.03363,0.03915, 120,  22
66,1,0.05230,0.03685, 120,  22
67,1,0.04031,0.04791, 120,  22
68,1,0.03632,0.03472, 120,  22
1,2,0.04431,0.04080, 120,  22
2,2,0.04148,0.04911, 120,  22
3,2,0.03655,0.03437, 120,  22
4,2,0.01922,0.04592, 120,  22
5,2,0.05414,0.02041, 120,  22
6,2,0.03790,0.04808, 120,  22
7,2,0.04023,0.02296, 120,  22
8,2,0.01339,0.05249, 120,  22
9,2,0.04182,0.04076, 120,  22
10,2,0.04265,0.04441, 120,  22
11,2,0.04346,0.04533, 120,  22
12,2,0.02402,0.04190, 120,  22
13,2,0.02600,0.04542, 120,  22
14,2,0.03775,0.04902, 120,  22
15,2,0.04031,0.04754, 120,  22
16,2,0.03949,0.03638, 120,  22
17,2,0.04497,0.03544, 120,  22
18,2,0.02991,0.04585, 120,  22
19,2,0.03861,0.02698, 120,  22
20,2,0.03311,0.02777, 120,  22
21,2,0.04032,0.02606, 120,  22
22,2,0.04176,0.03173, 120,  22
23,2,0.04001,0.02900, 120,  22
24,2,0.03594,0.03889, 120,  22
25,2,0.03981,0.02737, 120,  22
26,2,0.03682,0.03349, 120,  22
27,2,0.04224,0.04234, 120,  22
28,2,0.03484,0.03442, 120,  22
29,2,0.02938,0.04705, 120,  22
30,2,0.04974,0.02413, 120,  22
31,2,0.04474,0.03128, 120,  22
32,2,0.03491,0.02148, 120,  22
33,2,0.04505,0.03704, 120,  22
34,2,0.03636,0.05058, 120,  22
35,2,0.04528,0.02403, 120,  22
36,2,0.03089,0.03628, 120,  22
37,2,0.04586,0.03163, 120,  22
38,2,0.04150,0.03980, 120,  22
39,2,0.03671,0.04805, 120,  22
40,2,0.02941,0.05145, 120,  22
41,2,0.03399,0.03374, 120,  22
42,2,0.03067,0.03787, 120,  22
43,2,0.03958,0.03224, 120,  22
44,2,0.03896,0.03337, 120,  22
45,2,0.03233,0.02997, 120,  22
46,2,0.04365,0.03685, 120,  22
47,2,0.03362,0.02875, 120,  22
48,2,0.04375,0.03569, 120,  22
49,2,0.04083,0.04469, 120,  22
50,2,0.05482,0.02739, 120,  22
51,2,0.03224,0.02948, 120,  22
52,2,0.02813,0.03314, 120,  22
53,2,0.04492,0.02835, 120,  22
54,2,0.02182,0.05456, 120,  22
55,2,0.04489,0.04057, 120,  22
56,2,0.03975,0.04709, 120,  22
57,2,0.02543,0.04038, 120,  22
58,2,0.03073,0.04042, 120,  22
59,2,0.03460,0.04738, 120,  22
60,2,0.04749,0.03400, 120,  22
61,2,0.04463,0.03789, 120,  22
62,2,0.02997,0.03875, 120,  22
63,2,0.03557,0.04539, 120,  22
64,2,0.03522,0.04543, 120,  22
65,2,0.03067,0.05058, 120,  22
66,2,0.03805,0.04502, 120,  22
67,2,0.04549,0.03866, 120,  22
68,2,0.03916,0.02926, 120,  22
