2D Network settings: o=[ 4.0 18.0 ] nConns=100 nHidden=26 trials=68

run,hemisphere,global_target,local_target
1,1,0.02732,0.03643
2,1,0.03730,0.01542
3,1,0.02330,0.02663
4,1,0.02053,0.04733
5,1,0.03504,0.01845
6,1,0.02580,0.02143
7,1,0.01326,0.01528
8,1,0.02864,0.01345
9,1,0.03205,0.01702
10,1,0.03371,0.01979
11,1,0.02012,0.02022
12,1,0.02522,0.03937
13,1,0.01935,0.04516
14,1,0.03444,0.03408
15,1,0.02445,0.02833
16,1,0.02594,0.02077
17,1,0.01666,0.02617
18,1,0.03096,0.02717
19,1,0.02776,0.04231
20,1,0.02239,0.02381
21,1,0.01856,0.04110
22,1,0.04142,0.01921
23,1,0.03180,0.02909
24,1,0.03922,0.02098
25,1,0.04924,0.02467
26,1,0.02910,0.01630
27,1,0.04038,0.02245
28,1,0.03656,0.03108
29,1,0.01862,0.03742
30,1,0.03263,0.02603
31,1,0.04038,0.02213
32,1,0.02178,0.02200
33,1,0.02737,0.02454
34,1,0.03693,0.03251
35,1,0.03750,0.03538
36,1,0.01434,0.02945
37,1,0.00720,0.01366
38,1,0.01949,0.01142
39,1,0.02235,0.01785
40,1,0.01968,0.04027
41,1,0.03143,0.03270
42,1,0.03056,0.03796
43,1,0.03470,0.01894
44,1,0.02886,0.02136
45,1,0.02900,0.03220
46,1,0.01860,0.02135
47,1,0.02050,0.03395
48,1,0.04297,0.02367
49,1,0.02324,0.02200
50,1,0.02809,0.02217
51,1,0.02982,0.03416
52,1,0.02584,0.01858
53,1,0.02344,0.03006
54,1,0.02775,0.04469
55,1,0.02057,0.01858
56,1,0.01308,0.01444
57,1,0.03636,0.03189
58,1,0.03403,0.02582
59,1,0.02716,0.01422
60,1,0.02122,0.02480
61,1,0.02782,0.03279
62,1,0.02656,0.03858
63,1,0.02734,0.03621
64,1,0.01587,0.04558
65,1,0.01483,0.01823
66,1,0.03849,0.01602
67,1,0.03479,0.03514
68,1,0.01481,0.02249
1,2,0.03373,0.03912
2,2,0.02800,0.03724
3,2,0.03139,0.04935
4,2,0.02679,0.02288
5,2,0.03386,0.03060
6,2,0.02202,0.03609
7,2,0.02459,0.02290
8,2,0.01273,0.02634
9,2,0.02702,0.03140
10,2,0.02443,0.01845
11,2,0.02033,0.03313
12,2,0.03619,0.02119
13,2,0.03324,0.04958
14,2,0.02231,0.02697
15,2,0.03574,0.03254
16,2,0.02152,0.02966
17,2,0.03743,0.03040
18,2,0.03725,0.02492
19,2,0.02719,0.01993
20,2,0.02081,0.04234
21,2,0.02741,0.04331
22,2,0.02844,0.03597
23,2,0.02431,0.02058
24,2,0.01860,0.03230
25,2,0.02259,0.02432
26,2,0.01296,0.02491
27,2,0.01487,0.02182
28,2,0.01918,0.02486
29,2,0.01858,0.02407
30,2,0.02922,0.02847
31,2,0.01745,0.02004
32,2,0.01817,0.02157
33,2,0.01694,0.01418
34,2,0.01642,0.02492
35,2,0.03030,0.02976
36,2,0.02916,0.02920
37,2,0.01674,0.04019
38,2,0.03219,0.04649
39,2,0.04218,0.04015
40,2,0.02737,0.03387
41,2,0.03145,0.03780
42,2,0.02424,0.01645
43,2,0.02029,0.02490
44,2,0.02752,0.03124
45,2,0.02067,0.01925
46,2,0.02538,0.04547
47,2,0.01938,0.05222
48,2,0.03641,0.02349
49,2,0.03205,0.03794
50,2,0.02341,0.04482
51,2,0.01368,0.02124
52,2,0.01991,0.02861
53,2,0.02975,0.02497
54,2,0.02720,0.01570
55,2,0.01322,0.02629
56,2,0.03680,0.03154
57,2,0.02389,0.04218
58,2,0.02201,0.04749
59,2,0.02070,0.03954
60,2,0.02351,0.03784
61,2,0.01833,0.01506
62,2,0.03209,0.02877
63,2,0.01803,0.03577
64,2,0.02534,0.04070
65,2,0.01809,0.04443
66,2,0.01555,0.02667
67,2,0.02960,0.03931
68,2,0.02164,0.02466
