2D Network settings: o=[ 4.0 18.0 ] nConns=100 nHidden=26 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.02732,0.03643, 100,  26
2,1,0.03730,0.01542, 100,  26
3,1,0.02330,0.02663, 100,  26
4,1,0.02053,0.04733, 100,  26
5,1,0.03504,0.01845, 100,  26
6,1,0.02580,0.02143, 100,  26
7,1,0.01326,0.01528, 100,  26
8,1,0.02864,0.01345, 100,  26
9,1,0.03205,0.01702, 100,  26
10,1,0.03371,0.01979, 100,  26
11,1,0.02012,0.02022, 100,  26
12,1,0.02522,0.03937, 100,  26
13,1,0.01935,0.04516, 100,  26
14,1,0.03444,0.03408, 100,  26
15,1,0.02445,0.02833, 100,  26
16,1,0.02594,0.02077, 100,  26
17,1,0.01666,0.02617, 100,  26
18,1,0.03096,0.02717, 100,  26
19,1,0.02776,0.04231, 100,  26
20,1,0.02239,0.02381, 100,  26
21,1,0.01856,0.04110, 100,  26
22,1,0.04142,0.01921, 100,  26
23,1,0.03180,0.02909, 100,  26
24,1,0.03922,0.02098, 100,  26
25,1,0.04924,0.02467, 100,  26
26,1,0.02910,0.01630, 100,  26
27,1,0.04038,0.02245, 100,  26
28,1,0.03656,0.03108, 100,  26
29,1,0.01862,0.03742, 100,  26
30,1,0.03263,0.02603, 100,  26
31,1,0.04038,0.02213, 100,  26
32,1,0.02178,0.02200, 100,  26
33,1,0.02737,0.02454, 100,  26
34,1,0.03693,0.03251, 100,  26
35,1,0.03750,0.03538, 100,  26
36,1,0.01434,0.02945, 100,  26
37,1,0.00720,0.01366, 100,  26
38,1,0.01949,0.01142, 100,  26
39,1,0.02235,0.01785, 100,  26
40,1,0.01968,0.04027, 100,  26
41,1,0.03143,0.03270, 100,  26
42,1,0.03056,0.03796, 100,  26
43,1,0.03470,0.01894, 100,  26
44,1,0.02886,0.02136, 100,  26
45,1,0.02900,0.03220, 100,  26
46,1,0.01860,0.02135, 100,  26
47,1,0.02050,0.03395, 100,  26
48,1,0.04297,0.02367, 100,  26
49,1,0.02324,0.02200, 100,  26
50,1,0.02809,0.02217, 100,  26
51,1,0.02982,0.03416, 100,  26
52,1,0.02584,0.01858, 100,  26
53,1,0.02344,0.03006, 100,  26
54,1,0.02775,0.04469, 100,  26
55,1,0.02057,0.01858, 100,  26
56,1,0.01308,0.01444, 100,  26
57,1,0.03636,0.03189, 100,  26
58,1,0.03403,0.02582, 100,  26
59,1,0.02716,0.01422, 100,  26
60,1,0.02122,0.02480, 100,  26
61,1,0.02782,0.03279, 100,  26
62,1,0.02656,0.03858, 100,  26
63,1,0.02734,0.03621, 100,  26
64,1,0.01587,0.04558, 100,  26
65,1,0.01483,0.01823, 100,  26
66,1,0.03849,0.01602, 100,  26
67,1,0.03479,0.03514, 100,  26
68,1,0.01481,0.02249, 100,  26
1,2,0.03373,0.03912, 100,  26
2,2,0.02800,0.03724, 100,  26
3,2,0.03139,0.04935, 100,  26
4,2,0.02679,0.02288, 100,  26
5,2,0.03386,0.03060, 100,  26
6,2,0.02202,0.03609, 100,  26
7,2,0.02459,0.02290, 100,  26
8,2,0.01273,0.02634, 100,  26
9,2,0.02702,0.03140, 100,  26
10,2,0.02443,0.01845, 100,  26
11,2,0.02033,0.03313, 100,  26
12,2,0.03619,0.02119, 100,  26
13,2,0.03324,0.04958, 100,  26
14,2,0.02231,0.02697, 100,  26
15,2,0.03574,0.03254, 100,  26
16,2,0.02152,0.02966, 100,  26
17,2,0.03743,0.03040, 100,  26
18,2,0.03725,0.02492, 100,  26
19,2,0.02719,0.01993, 100,  26
20,2,0.02081,0.04234, 100,  26
21,2,0.02741,0.04331, 100,  26
22,2,0.02844,0.03597, 100,  26
23,2,0.02431,0.02058, 100,  26
24,2,0.01860,0.03230, 100,  26
25,2,0.02259,0.02432, 100,  26
26,2,0.01296,0.02491, 100,  26
27,2,0.01487,0.02182, 100,  26
28,2,0.01918,0.02486, 100,  26
29,2,0.01858,0.02407, 100,  26
30,2,0.02922,0.02847, 100,  26
31,2,0.01745,0.02004, 100,  26
32,2,0.01817,0.02157, 100,  26
33,2,0.01694,0.01418, 100,  26
34,2,0.01642,0.02492, 100,  26
35,2,0.03030,0.02976, 100,  26
36,2,0.02916,0.02920, 100,  26
37,2,0.01674,0.04019, 100,  26
38,2,0.03219,0.04649, 100,  26
39,2,0.04218,0.04015, 100,  26
40,2,0.02737,0.03387, 100,  26
41,2,0.03145,0.03780, 100,  26
42,2,0.02424,0.01645, 100,  26
43,2,0.02029,0.02490, 100,  26
44,2,0.02752,0.03124, 100,  26
45,2,0.02067,0.01925, 100,  26
46,2,0.02538,0.04547, 100,  26
47,2,0.01938,0.05222, 100,  26
48,2,0.03641,0.02349, 100,  26
49,2,0.03205,0.03794, 100,  26
50,2,0.02341,0.04482, 100,  26
51,2,0.01368,0.02124, 100,  26
52,2,0.01991,0.02861, 100,  26
53,2,0.02975,0.02497, 100,  26
54,2,0.02720,0.01570, 100,  26
55,2,0.01322,0.02629, 100,  26
56,2,0.03680,0.03154, 100,  26
57,2,0.02389,0.04218, 100,  26
58,2,0.02201,0.04749, 100,  26
59,2,0.02070,0.03954, 100,  26
60,2,0.02351,0.03784, 100,  26
61,2,0.01833,0.01506, 100,  26
62,2,0.03209,0.02877, 100,  26
63,2,0.01803,0.03577, 100,  26
64,2,0.02534,0.04070, 100,  26
65,2,0.01809,0.04443, 100,  26
66,2,0.01555,0.02667, 100,  26
67,2,0.02960,0.03931, 100,  26
68,2,0.02164,0.02466, 100,  26
