1D Network settings: o=[ 1.8 12.0 ] nConns=7 nHidden=14 trials=68

run,hemisphere,global_target,local_target
1,1,0.00498,0.00321
2,1,0.00407,0.00567
3,1,0.00757,0.00252
4,1,0.01087,0.01561
5,1,0.02540,0.02034
6,1,0.00973,0.01451
7,1,0.01134,0.00445
8,1,0.01160,0.01062
9,1,0.00617,0.00548
10,1,0.02096,0.01209
11,1,0.01933,0.03347
12,1,0.00738,0.00525
13,1,0.00611,0.00407
14,1,0.01162,0.03034
15,1,0.00612,0.00748
16,1,0.00497,0.00359
17,1,0.01279,0.00782
18,1,0.00471,0.00608
19,1,0.00390,0.00988
20,1,0.01046,0.00542
21,1,0.00874,0.01146
22,1,0.00277,0.00730
23,1,0.00575,0.00528
24,1,0.00501,0.00310
25,1,0.01658,0.01041
26,1,0.00696,0.01290
27,1,0.00000,0.00015
28,1,0.00419,0.00308
29,1,0.00309,0.00561
30,1,0.00435,0.01272
31,1,0.01300,0.01120
32,1,0.00379,0.00260
33,1,0.01570,0.00784
34,1,0.00900,0.01078
35,1,0.01191,0.00373
36,1,0.01479,0.00946
37,1,0.00869,0.01211
38,1,0.01660,0.02533
39,1,0.00497,0.00505
40,1,0.00906,0.00255
41,1,0.00682,0.00323
42,1,0.00761,0.00311
43,1,0.01159,0.00701
44,1,0.00568,0.00306
45,1,0.01837,0.00225
46,1,0.01737,0.01376
47,1,0.00587,0.00531
48,1,0.00688,0.01194
49,1,0.01552,0.00602
50,1,0.01374,0.00846
51,1,0.00406,0.00290
52,1,0.00715,0.01009
53,1,0.00652,0.00468
54,1,0.00853,0.00478
55,1,0.01075,0.00357
56,1,0.00388,0.00927
57,1,0.00900,0.00871
58,1,0.00445,0.00272
59,1,0.00726,0.00501
60,1,0.00485,0.00433
61,1,0.00737,0.00673
62,1,0.00617,0.00567
63,1,0.00663,0.00792
64,1,0.00750,0.01251
65,1,0.01173,0.01598
66,1,0.01351,0.00574
67,1,0.02486,0.00573
68,1,0.01095,0.01542
1,2,0.00392,0.03092
2,2,0.00897,0.00958
3,2,0.01006,0.00694
4,2,0.00487,0.00671
5,2,0.00794,0.01080
6,2,0.01393,0.01206
7,2,0.00399,0.00587
8,2,0.00923,0.02792
9,2,0.00911,0.01126
10,2,0.00446,0.00476
11,2,0.00735,0.00319
12,2,0.00280,0.00527
13,2,0.00785,0.00561
14,2,0.00655,0.00594
15,2,0.01324,0.01420
16,2,0.00811,0.00553
17,2,0.00323,0.00815
18,2,0.00619,0.00447
19,2,0.00633,0.00408
20,2,0.00506,0.00919
21,2,0.00529,0.00581
22,2,0.00897,0.00675
23,2,0.00607,0.01523
24,2,0.01197,0.00577
25,2,0.01056,0.00562
26,2,0.01200,0.01251
27,2,0.00776,0.00679
28,2,0.00553,0.00858
29,2,0.00541,0.00525
30,2,0.00962,0.01426
31,2,0.00571,0.00677
32,2,0.00430,0.00454
33,2,0.00524,0.00410
34,2,0.00456,0.00545
35,2,0.00338,0.00475
36,2,0.00596,0.00137
37,2,0.00551,0.00604
38,2,0.00274,0.00752
39,2,0.00967,0.00862
40,2,0.00636,0.00781
41,2,0.00759,0.01190
42,2,0.00921,0.01067
43,2,0.01950,0.01355
44,2,0.00495,0.00266
45,2,0.00366,0.00976
46,2,0.00445,0.00216
47,2,0.00771,0.00550
48,2,0.00550,0.00517
49,2,0.00582,0.01477
50,2,0.00364,0.01036
51,2,0.01066,0.01400
52,2,0.01667,0.03338
53,2,0.01255,0.01228
54,2,0.00719,0.00262
55,2,0.00439,0.01341
56,2,0.00334,0.00488
57,2,0.00787,0.00628
58,2,0.00575,0.00392
59,2,0.00921,0.00434
60,2,0.00802,0.00316
61,2,0.01257,0.00811
62,2,0.00832,0.00777
63,2,0.01256,0.01578
64,2,0.01008,0.01907
65,2,0.01261,0.00664
66,2,0.00857,0.01856
67,2,0.00520,0.01778
68,2,0.00464,0.00566
