1D Network settings: o=[ 1.8 12.0 ] nConns=7 nHidden=11 trials=68

run,hemisphere,global_target,local_target,nConns,nHidden
1,1,0.01282,0.00992,   7,  11
2,1,0.03072,0.01724,   7,  11
3,1,0.01515,0.05547,   7,  11
4,1,0.00714,0.00769,   7,  11
5,1,0.01690,0.00409,   7,  11
6,1,0.00479,0.02557,   7,  11
7,1,0.01464,0.00797,   7,  11
8,1,0.02070,0.01525,   7,  11
9,1,0.01123,0.01318,   7,  11
10,1,0.02989,0.03366,   7,  11
11,1,0.01251,0.03087,   7,  11
12,1,0.00973,0.00962,   7,  11
13,1,0.02713,0.00916,   7,  11
14,1,0.01381,0.01096,   7,  11
15,1,0.00613,0.00718,   7,  11
16,1,0.01009,0.03259,   7,  11
17,1,0.03114,0.01300,   7,  11
18,1,0.02706,0.01888,   7,  11
19,1,0.03722,0.02344,   7,  11
20,1,0.00656,0.01258,   7,  11
21,1,0.01299,0.01583,   7,  11
22,1,0.01074,0.01657,   7,  11
23,1,0.00165,0.01212,   7,  11
24,1,0.03449,0.00899,   7,  11
25,1,0.00916,0.00761,   7,  11
26,1,0.00863,0.01028,   7,  11
27,1,0.03420,0.02534,   7,  11
28,1,0.01145,0.02209,   7,  11
29,1,0.01150,0.01487,   7,  11
30,1,0.01271,0.01445,   7,  11
31,1,0.01521,0.01141,   7,  11
32,1,0.00718,0.01471,   7,  11
33,1,0.00831,0.01022,   7,  11
34,1,0.01804,0.03752,   7,  11
35,1,0.03726,0.01312,   7,  11
36,1,0.00888,0.01147,   7,  11
37,1,0.01845,0.01596,   7,  11
38,1,0.01323,0.01266,   7,  11
39,1,0.01799,0.02694,   7,  11
40,1,0.00725,0.01136,   7,  11
41,1,0.00459,0.01233,   7,  11
42,1,0.03526,0.01097,   7,  11
43,1,0.00470,0.01448,   7,  11
44,1,0.00773,0.01361,   7,  11
45,1,0.02711,0.03195,   7,  11
46,1,0.02288,0.02059,   7,  11
47,1,0.01217,0.00948,   7,  11
48,1,0.01605,0.01833,   7,  11
49,1,0.00562,0.04280,   7,  11
50,1,0.03951,0.03723,   7,  11
51,1,0.02101,0.02562,   7,  11
52,1,0.00766,0.00596,   7,  11
53,1,0.01128,0.01087,   7,  11
54,1,0.00872,0.01223,   7,  11
55,1,0.01046,0.01715,   7,  11
56,1,0.01681,0.01683,   7,  11
57,1,0.00466,0.03707,   7,  11
58,1,0.01280,0.02478,   7,  11
59,1,0.02312,0.03819,   7,  11
60,1,0.02784,0.01183,   7,  11
61,1,0.00677,0.01273,   7,  11
62,1,0.03018,0.03972,   7,  11
63,1,0.01047,0.02551,   7,  11
64,1,0.01633,0.00918,   7,  11
65,1,0.04108,0.00909,   7,  11
66,1,0.00810,0.01753,   7,  11
67,1,0.00745,0.00923,   7,  11
68,1,0.01790,0.03975,   7,  11
1,2,0.01170,0.02455,   7,  11
2,2,0.00765,0.03322,   7,  11
3,2,0.01445,0.07575,   7,  11
4,2,0.00707,0.02577,   7,  11
5,2,0.01172,0.01533,   7,  11
6,2,0.01621,0.02225,   7,  11
7,2,0.01295,0.01882,   7,  11
8,2,0.01135,0.04398,   7,  11
9,2,0.01303,0.03649,   7,  11
10,2,0.00645,0.02283,   7,  11
11,2,0.00926,0.02568,   7,  11
12,2,0.01012,0.01822,   7,  11
13,2,0.00838,0.02951,   7,  11
14,2,0.00324,0.02335,   7,  11
15,2,0.02220,0.03931,   7,  11
16,2,0.01343,0.01484,   7,  11
17,2,0.01850,0.04268,   7,  11
18,2,0.00218,0.02325,   7,  11
19,2,0.00398,0.01197,   7,  11
20,2,0.01575,0.02009,   7,  11
21,2,0.01735,0.06528,   7,  11
22,2,0.00752,0.06104,   7,  11
23,2,0.01555,0.03494,   7,  11
24,2,0.00573,0.00346,   7,  11
25,2,0.00937,0.01689,   7,  11
26,2,0.02589,0.04664,   7,  11
27,2,0.00431,0.01787,   7,  11
28,2,0.00169,0.03003,   7,  11
29,2,0.00721,0.01894,   7,  11
30,2,0.02014,0.04775,   7,  11
31,2,0.00407,0.05168,   7,  11
32,2,0.01465,0.01502,   7,  11
33,2,0.00659,0.01941,   7,  11
34,2,0.01007,0.01315,   7,  11
35,2,0.00372,0.04920,   7,  11
36,2,0.00397,0.01334,   7,  11
37,2,0.00863,0.04110,   7,  11
38,2,0.00325,0.00411,   7,  11
39,2,0.00225,0.00607,   7,  11
40,2,0.01542,0.03749,   7,  11
41,2,0.01587,0.01641,   7,  11
42,2,0.01441,0.04486,   7,  11
43,2,0.01105,0.05212,   7,  11
44,2,0.01325,0.05509,   7,  11
45,2,0.00540,0.06406,   7,  11
46,2,0.00801,0.05859,   7,  11
47,2,0.01645,0.02724,   7,  11
48,2,0.00454,0.01421,   7,  11
49,2,0.00645,0.08266,   7,  11
50,2,0.00198,0.01630,   7,  11
51,2,0.01038,0.07916,   7,  11
52,2,0.00384,0.03568,   7,  11
53,2,0.00795,0.04142,   7,  11
54,2,0.00668,0.01220,   7,  11
55,2,0.02262,0.02463,   7,  11
56,2,0.00687,0.01995,   7,  11
57,2,0.03404,0.02612,   7,  11
58,2,0.00452,0.01758,   7,  11
59,2,0.01148,0.07483,   7,  11
60,2,0.00793,0.03301,   7,  11
61,2,0.00785,0.10273,   7,  11
62,2,0.00427,0.01147,   7,  11
63,2,0.00654,0.06052,   7,  11
64,2,0.00369,0.01143,   7,  11
65,2,0.00844,0.02772,   7,  11
66,2,0.03575,0.06850,   7,  11
67,2,0.01318,0.03451,   7,  11
68,2,0.00991,0.05597,   7,  11
